qid,edition,series_ordinal,label,date,nb_forged,nb_work,academic,literature,historical,music,religious,game,unknown,bd,cinema,videogame,franchise,confusing_mix,notes,,
Q17155477,,,Numenera,,0,1,a,,,,,,,,,,,,,,
,,,On Downtimes & Desmenes,,0,0,,,,,,,,,,,,,,,
Q70666681,2nd ed.,2,OpenQuest,,3,0,,,,,,,,,,,,,,,
Q70666681,,,OpenQuest,,1,0,,,,,,,,,,,,,,,
Q2375570,d20,,Oriental adventures,,0,0,,,,,,,,,,,,,,,
Q1585470,,,Orpheus,,5,9,,,,,,,,,c,,,x,,,
Q3347723,22FR,,OSRIC,,0,0,,,,,,,,,,,,,,,
Q726682,2nd ed.,2,Over the Edge,,27,10,a,l,h,,,,,,,,,x,,,
Q5496,,,Palladium Fantasy Role-Playing Game,,9,0,,,,,,,,,,,,,,,
Q1042398,2nd ed.,2,Paranoia,1987,0,1,,l,,,,,,,,,,,,,
Q1042398,5th ed.,5,Paranoia,1995,0,14,a,l,h,,,g,,,c,,,,,,
Q1042398,8th  RedClearance,8,Paranoia,2017,0,0,,,,,,,,,,,,,,,
Q1042398,25th Bday : HighProgrammer,7,Paranoia,2009,2,6,a,l,,,,,,,c,,,,,,
Q1042398,25th Bday : InternalSecurity,7,Paranoia,2009,0,5,a,,,,,,,,c,,,,,,
Q1042398,25th Bday : Troubleshooters,7,Paranoia,2009,0,1,,,,,,g,,,,,,,,,
Q3368745,,,Patient 13,,2,10,,l,,m,,,,,,,,,,,
Q3373037,,,Pavillon Noir,,0,3,a,l,,,,,,,,,,,,,
Q680553,3rd ed.,3,Pendragon,,0,24,,l,h,,,,,,,,f,,,,
Q680553,4th ed.,4,Pendragon,,0,24,,l,h,,,,,,,,f,,,,
Q680553,5.1,5,Pendragon,,0,21,,l,h,,,,,,,,f,,,,
Q680553,5.2,6,Pendragon,,0,26,,l,h,,,,,,,,f,,,,
Q17131035,,,Polaris,,0,0,,,,,,,,,,,,,,,
,,,"Portes, Monstres et Trésors",,0,0,,,,,,,,,,,,,,,
Q64561722,,,Premières légendes : Légendes de la Table Ronde,,0,2,,l,h,m,,,,,,,f,,,,
Q7243255,,,Prime Directive,,4,0,,,,,,,,,,,,,,,
Q3631244,2nd ed.,2,Primetime Adventures,2004,0,16,a,,,,,,,,c,,,,,,
Q3631244,3rd ed.,3,Primetime Adventures,,0,17,a,,,,,,,,c,,,,,,
Q4906640,,,Prince Valiant: The Story-Telling Game,,0,71,,,,,,,,b,,,f,,,,
Q24030,,,Promethean : The Created,,2,4,a,l,,,,,,,,,,,,,
Q3407530,2nd ed.,2,Prophecy,,9,0,,,,,,,,,,,,,,,
Q3412477,,,Qin: The Warring States,,0,12,a,l,,,r,,,,,,,,,,
Q66603524,,,Reign,,25,0,,,,,,,,,,,,,,,
Q3458147,,,Retrofuture,,1,11,a,l,h,,,,,,,,,x,,,
Q77435402,,,Rocket Age,,0,1,,l,,,,,,,,,,,,,
Q21233618,,,Rogue Trader,,99,0,,,,,,,,,,,,,,,
Q5486,HARP,,Rolemaster,,0,0,,,,,,,,,,,,,,,
Q680764,1st ed.,1,Rolemaster,1980,0,0,,,,,,,,,,,,,,,
Q680764,4th ed.,4,Rolemaster,1999,0,0,,,,,,,,,,,,,,,
Q680764,Classic,5,Rolemaster,2007,0,0,,,,,,,,,,,,,,,
Q680764,Express,6,Rolemaster,2007,0,0,,,,,,,,,,,,,,,
Q681338,4th ed.,4,RuneQuest,,0,0,,,,,,,,,,,,,,,
Q681338,6th ed.,6,RuneQuest,,0,0,,,,,,,,,,,,,,,
Q11281471,,,"Ryuutama, Natural Fantasy Roleplaying Game",,1,0,,,,,,,,,,,,,,,
Q70492409,,,Sagas of the Icelanders,,0,13,,lh,,,,,,,,,f,,,,
Q7450585,Revised ed,2,Sengoku,,0,310,,l,h,,r,,,,,,,,,,
Q3478589,Renaissance ,,Sens Hexalogie,,0,2,a,,,,,,u,,,,,,,,
Q1042442,2nd ed.,2,Shadowrun,1992,17,0,,,,,,,,,,,,,,,
Q1042442,3rd ed.,3,Shadowrun,1998,0,0,,,,,,,,,,,,,,,
Q1042442,5th ed.,6,Shadowrun,2013,1,0,,,,,,,,,,,,,,,
Q1042442,6th ed.,7,Shadowrun,2019,0,0,,,,,,,,,,,,,,,
Q1042442,4th ed.,4,Shadowrun,2005,1,0,,,,,,,,,,,,,,,
Q66126585,,,Shadows of Esteren,,31,4,a,l,,,,,,,,,,,,,
Q2206510,1st ed.,1,SLA Industries,1993,73,0,,,,,,,,,,,,,,,
Q2206510,1.1,2,SLA Industries,2000,73,0,,,,,,,,,,,,,,,
Q547845,,,Sorcerer,,4,15,a,l,,m,,,u,b,c,,,x,,,
Q104853796,,,Space Adventure Cobra ,,0,0,,,,,,,,,,,f,,Preface with dedicace by Buichi Terasawa,,
Q2306311,2nd ed.,2,Space Master,1986,10,10,a,l,h,m,,,,,,,,x,Quotes of works dated following Terra PreImp 9975 for example,,
Q2306311,Companion,,Space Master,,2,4,a,l,,m,,,,,,,,,,,
Q2306311,Future Law,,Space Master,,0,0,,,,,,,,,,,,,,,
Q2306311,Tech Law,,Space Master,,0,0,,,,,,,,,,,,,,,
Q64524503,,,Spione: Story Now in Cold War Berlin,,0,4,a,,h,,,,,,c,,,,,,
Q16995265,,,Star Trek: Adventure Gaming in the Final Frontier ,,0,0,,,,,,,,,,,f,,,,
Q1989178,,,Star Wars Roleplaying Game,,1,0,,,,,,,,,c,,f,,,,
Q7601158,,,Star Wars: Edge of the Empire,,13,0,,,,,,,,,c,,f,,,,
Q7601816,,,Starfaring,,0,2,a,,,,,g,,,,,,,,,
Q67963569,,,Stars without Number,,0,0,,,,,,,,,,,,,,,
Q682309,1st ed.,1,Stormbringer,1981,0,6,,l,,,,,,,,,f,,,,
Q682309,3rd ed.,3,Stormbringer,1987,0,6,,l,,,,,,,,,f,,,,
Q682309,4th ed.,4,Stormbringer,1990,0,7,,l,,,,,,,,,f,,,,
Q682309,5th ed.,6,Stormbringer,2001,0,58,,l,,,,,,,,,f,,,,
Q3051684,Elric!,5,Stormbringer,1993,0,53,,l,,,,,,,,,f,,,,
Q70949461,,,Storming the Wizard's Tower ,,0,0,,,,,,,,,,,,,,,
Q70925843,,,Striscia,,0,1,,,h,,,,,,,,,,,,
Q70485112,,,Swords & Wizardry,,0,1,,,,m,,,,,,,,,,,
Q64710561,Vol. 1 & vol. 2,,Sworld & Glory,,1,0,,,,,,,,,,,,,,,
Q78089496,,,Symbaroum,,12,0,,,,,,,,,,,,,,,
Q7675295,,,Tagmar,,0,0,,,,,,,,,,,,,,,
Q5199858,2nd ed.,2,Talislanta,,0,0,,,,,,,,,,,,,,,
Q5199858,5th ed.,5,Talislanta,,0,0,,,,,,,,,,,,,,,
Q3516664,,,Te deum pour un massacre,,0,19,,l,h,,,,,,,,,,,,
Q18168390,,,Tékumel: Empire of the Petal Throne,,1,0,,,,,,,,,,,,,,,
Q7720690,Gold,,The Burning Wheel,,0,6,,l,,,,,,,,,,,,,
Q3041920,,,The Dying Earth Roleplaying Game,,0,91,,l,,,,,,,,,f,,,,
Q25112595,1st ed.,1,The Extraordinary Adventures of Baron Munchausen,1998,10,0,,l,,,,,,,,,,,,,
Q25112595,2nd ed.,2,The Extraordinary Adventures of Baron Munchausen,2008,13,0,,l,,,,,,,,,,,,,
Q25112595,3rd ed.,3,The Extraordinary Adventures of Baron Munchausen,2016,10,0,,,,,,,,,c,,,,,,
Q21233537,,,The Laundry,,0,47,a,l,h,,,,,,,,f,x,one quote from Donald Rumsfeld,,
Q1194266,,,The Lord of the Rings Roleplaying Game,,0,273,,l,,,,,,,,,f,,,,
Q7751161,,,The Metabarons Roleplaying Game,,1,0,,,,,,,,b,,,f,,,,
Q2028764,Adventurer’s book,,The One Ring Roleplaying Game,,0,90,,l,,,,,,,,,f,,Unsourced quotes from LoTR,,
Q70491646,,,The Regiment,,0,0,,,,,,,,,,,,,,,
Q7760683,,,The Riddle of Steel,,1,0,,,,,,,,,,,,,,,
,,,The Story Names Game Project,,0,1,,,,,,,,,,,,,,,
Q21233643,,,The Strange,,37,4,a,l,,,,,u,,,,,,,,
Q7774442,,,The Whispering Vault,,0,0,,,,,,,,,,,,,,,
Q17572787,,,The World of Indiana Jones,,0,2,,,,,,,,,c,,f,,,,
Q7776913,,,The Zorcerer of Zo,,0,17,a,l,,,,,,,,,,,,,
Q3524795,,,Thoan,,1,16,,l,,,,,,,,,f,,,,
Q7824606,,,Top Secret,,0,0,,,,,,,,,,,,,,,
Q600643,,,Torg,,16,0,,,,,,,,,,,,,,,
Q600643,,,Torg,,3,0,,,,,,,,,,,,,,,
